movieId,tag,item_id,tag_id
4141,mark waters,2833,0
208,dark hero,582,1
353,dark hero,591,1
521,noir thriller,3578,2
592,dark hero,599,1
668,bollywood,3225,3
898,screwball comedy,943,4
1248,noir thriller,1762,2
1391,mars,649,5
1617,neonoir,455,6
1694,jesus,1955,7
1783,noir thriller,1317,2
2022,jesus,3318,7
2193,dragon,76,8
2353,conspiracy theory,1094,9
2662,mars,326,5
2726,noir thriller,2207,2
2840,jesus,604,7
3052,jesus,1396,7
5135,bollywood,1826,3
6539,treasure,148,10
6874,dark hero,753,1
7013,noir thriller,4558,2
7318,jesus,2479,7
8529,stranded,1030,11
8622,conspiracy theory,775,9
27803,oscar best foreign language film,1136,12
27866,new zealand,2354,13
48082,surreal,1724,14
48082,unusual,1724,15
58652,cute,888,16
58652,emotional,888,17
58652,stephen chow,888,18
106696,animation,1653,19
106696,beautiful,1653,20
106696,characters,1653,21
106696,disney,1653,22
106696,feminist,1653,23
106696,ice,1653,24
106696,music,1653,25
106696,musical,1653,26
106696,pacing,1653,27
106696,royalty,1653,28
106696,siblings,1653,29
106696,storyline,1653,30
106696,themes,1653,31
106696,unnecessary villain,1653,32
106696,voice acting,1653,33
106696,writing,1653,34
778,dark comedy,1199,35
778,drugs,1199,36
778,nudity full frontal  notable,1199,37
778,nudity full frontal,1199,38
1288,christopher guest,1207,39
1288,comedy,1207,40
1288,music business,1207,41
1288,rock and roll,1207,42
1288,satire,1207,43
1288,witty,1207,44
2706,nudity topless  notable,603,45
2706,nudity topless,603,46
2706,sexuality,603,47
2706,teen comedy,603,48
4718,nudity topless,704,46
4718,sexuality,704,47
5283,college humor,717,49
5283,nudity topless,717,46
5283,ryan reynolds,717,50
5283,teen movie,717,51
6188,college,2854,52
6188,nudity topless,2854,46
6188,seann william scott,2854,53
6188,vince vaughn,2854,54
6188,will ferrell,2854,55
8641,funniest movies,777,56
8641,hilarious,777,57
8641,one of the worst movies of all time,777,58
8641,seen more than once,777,59
8641,steve carell,777,60
8641,vince vaughn,777,54
8641,will ferrell,777,55
35836,comedy,822,40
35836,crude humor,822,61
35836,nudity topless  notable,822,45
35836,nudity topless,822,46
35836,seth rogen,822,62
35836,sex,822,63
35836,sex comedy,822,64
35836,steve carell,822,60
36529,arms dealer,1712,65
36529,dark comedy,1712,35
36529,drugs,1712,36
36529,nicolas cage,1712,66
36529,nudity topless,1712,46
46970,below r,3122,67
46970,tarantino,3122,68
46970,will ferrell,3122,55
52973,drugs,2330,36
52973,nudity topless  brief,2330,69
52973,nudity topless,2330,46
54503,crude humor,1480,61
54503,highly quotable,1480,70
54503,pornography,1480,71
54503,teen movie,1480,51
54503,virginity,1480,72
60756,comedy,3212,40
60756,seth rogen,3212,62
60756,will ferrell,3212,55
68073,1960s,3216,73
68073,bill nighy,3216,74
68073,meandering,3216,75
68073,philip seymour hoffman,3216,76
68073,pirate radio,3216,77
68073,rock and roll,3216,42
68073,soundtrack,3216,78
80693,mental illness,3220,79
80693,zach galifianakis,3220,80
104,adam sandler,922,81
104,golf,922,82
104,sports,922,83
1359,arnold schwarzenegger,3153,84
1359,christmas movie,3153,85
1359,xmas theme,3153,86
2335,adam sandler,3162,81
2335,american football,3162,87
2335,football,3162,88
2335,sportamerican football,3162,89
2706,high school,603,90
2706,teen movie,603,51
2706,virginity,603,72
3556,great ending,1682,91
3556,high school,1682,90
3556,lyrical,1682,92
3556,melancholy,1682,93
