userId,tag,user_id,tag_id
18,mark waters,17,0
65,dark hero,64,1
65,noir thriller,64,2
65,bollywood,64,3
65,screwball comedy,64,4
65,mars,64,5
65,neonoir,64,6
65,jesus,64,7
65,dragon,64,8
65,conspiracy theory,64,9
65,treasure,64,10
65,stranded,64,11
65,oscar best foreign language film,64,12
65,new zealand,64,13
65,surreal,64,14
65,unusual,64,15
65,cute,64,16
65,emotional,64,17
65,stephen chow,64,18
96,animation,95,19
96,beautiful,95,20
96,characters,95,21
96,disney,95,22
96,feminist,95,23
96,ice,95,24
96,music,95,25
96,musical,95,26
96,pacing,95,27
96,royalty,95,28
96,siblings,95,29
96,storyline,95,30
96,themes,95,31
96,unnecessary villain,95,32
96,voice acting,95,33
96,writing,95,34
121,dark comedy,120,35
121,drugs,120,36
121,nudity full frontal  notable,120,37
121,nudity full frontal,120,38
121,christopher guest,120,39
121,comedy,120,40
121,music business,120,41
121,rock and roll,120,42
121,satire,120,43
121,witty,120,44
121,nudity topless  notable,120,45
121,nudity topless,120,46
121,sexuality,120,47
121,teen comedy,120,48
121,college humor,120,49
121,ryan reynolds,120,50
121,teen movie,120,51
121,college,120,52
121,seann william scott,120,53
121,vince vaughn,120,54
121,will ferrell,120,55
121,funniest movies,120,56
121,hilarious,120,57
121,one of the worst movies of all time,120,58
121,seen more than once,120,59
121,steve carell,120,60
121,crude humor,120,61
121,seth rogen,120,62
121,sex,120,63
121,sex comedy,120,64
121,arms dealer,120,65
121,nicolas cage,120,66
121,below r,120,67
121,tarantino,120,68
121,nudity topless  brief,120,69
121,highly quotable,120,70
121,pornography,120,71
121,virginity,120,72
121,1960s,120,73
121,bill nighy,120,74
121,meandering,120,75
121,philip seymour hoffman,120,76
121,pirate radio,120,77
121,soundtrack,120,78
121,mental illness,120,79
121,zach galifianakis,120,80
129,adam sandler,128,81
129,golf,128,82
129,sports,128,83
129,arnold schwarzenegger,128,84
129,christmas movie,128,85
129,xmas theme,128,86
129,american football,128,87
129,football,128,88
129,sportamerican football,128,89
129,high school,128,90
129,nudity topless  notable,128,45
129,nudity topless,128,46
129,sexuality,128,47
129,teen comedy,128,48
129,teen movie,128,51
129,virginity,128,72
129,great ending,128,91
129,lyrical,128,92
129,melancholy,128,93
129,psychology,128,94
129,reflective,128,95
129,suburbia,128,96
129,suicide,128,97
129,visually appealing,128,98
129,david spade,128,99
129,movie to see,128,100
129,alternate timeline,128,101
129,cult classic,128,102
129,cult film,128,103
129,mental illness,128,79
129,music,128,25
129,scifi,128,104
129,surreal,128,14
129,thoughtprovoking,128,105
129,time travel,128,106
129,winona ryder,128,107
129,ben stiller,128,108
129,comedy,128,40
129,funny,128,109
129,funny as hell,128,110
129,idiotic,128,111
129,seen more than once,128,59
129,vince vaughn,128,54
129,wasted potential,128,112
129,judd apatow movie,128,113
129,paul rudd,128,114
129,seth rogen,128,62
129,steve carell,128,60
129,steve carrell,128,115
129,avante garde,128,116
129,bittersweet,128,117
129,deadpan,128,118
129,fathers and sons,128,119
129,independent film,128,120
129,indie,128,121
129,irreverent,128,122
129,sexual awakening,128,123
129,unique,128,124
129,weird,128,125
129,coming of age,128,126
129,friendship,128,127
129,tattoo,128,128
129,teenager,128,129
129,delusion,128,130
129,delusional,128,131
129,emotional,128,17
129,small town,128,132
129,brotherbrother relationship,128,133
129,ending,128,134
129,highly quotable,128,70
129,let down,128,135
129,will ferrell,128,55
129,hollywood,128,136
129,jack black,128,137
129,robert downey jr,128,138
129,satire,128,43
129,tom cruise,128,139
129,vietnam war,128,140
129,handcamreal style,128,141
129,action,128,142
129,one dimensional characters except for affleck ending trite,128,143
129,too much love interest,128,144
129,emma stone,128,145
129,funny dialogues,128,146
129,plot,128,147
129,typical,128,148
129,unreal reactions,128,149
129,plot twist,128,150
129,documentary,128,151
129,makes you think,128,152
129,drug use,128,153
129,road trip,128,154
129,zach galifianakis,128,80
129,boring,128,155
129,camping trip,128,156
129,emma watson,128,157
133,beautifully filmed,132,158
133,quirky,132,159
133,romance,132,160
133,stylized,132,161
133,visually appealing,132,98
133,whimsical,132,162
133,culture clash,132,163
133,heartbreaking,132,164
133,intense,132,165
133,sad but good,132,166
190,steven spielberg,189,167
190,time travel,189,106
190,scifi,189,104
205,manhattan,204,168
205,upper class,204,169
271,simon pegg,270,170
279,audrey hepburn,278,171
279,black and white,278,172
279,classic,278,173
279,gregory peck,278,174
279,imdb top 250,278,175
279,italy,278,176
279,love story,278,177
279,national film registry,278,178
279,need to own,278,179
279,romantic comedy,278,180
279,rome,278,181
279,royalty,278,28
279,slapstick,278,182
279,based on a book,278,183
279,british,278,184
279,hugh grant,278,185
279,jane austen,278,186
279,chick flick,278,187
279,sentimental,278,188
316,firefly,315,189
316,scifi,315,104
316,western,315,190
318,1970s,317,191
318,fantasy,317,192
318,scifi,317,104
318,action,317,142
318,revenge,317,193
318,willem dafoe,317,194
320,must show,319,195
320,twist,319,196
320,overrated,319,197
320,violent,319,198
342,postapocalyptic,341,199
342,psychology,341,94
342,time travel,341,106
342,organized crime,341,200
342,twist ending,341,201
342,twists  turns,341,202
342,friendship,341,127
342,morgan freeman,341,203
342,prison escape,341,204
342,redemption,341,205
342,revenge,341,193
342,bittersweet,341,117
342,classic,341,173
342,vietnam war,341,140
342,crime gone awry,341,206
342,black comedy,341,207
342,british,341,184
342,cold war,341,208
342,comedy,341,40
342,peter sellers,341,209
342,satire,341,43
342,satirical,341,210
342,stanley kubrick,341,211
342,john cleese,341,212
342,quirky,341,159
342,monty python,341,213
342,parody,341,214
342,atmospheric,341,215
342,surreal,341,14
342,psychological,341,216
342,clint eastwood,341,217
342,ennio morricone,341,218
342,italian,341,219
342,music,341,25
342,sergio leone,341,220
342,mystery,341,221
342,michael douglas,341,222
342,plot twist,341,150
342,sean penn,341,223
342,unrealistic,341,224
342,eugenics,341,225
342,future,341,226
342,genetic engineering,341,227
342,genetics,341,228
342,powerful ending,341,229
342,racism,341,230
342,funny,341,109
342,jack nicholson,341,231
342,obsessive compulsive disorder,341,232
342,relationships,341,233
342,edward norton,341,234
342,neonazis,341,235
342,politics,341,236
342,tense,341,237
342,thoughtprovoking,341,105
342,scifi,341,104
342,virtual reality,341,238
342,adventure,341,239
342,anime,341,240
342,fantasy world,341,241
342,coming of age,341,126
342,comingofage,341,242
342,cycling,341,243
342,boring,341,155
342,nudity full frontal,341,38
342,pretentious,341,244
342,slow paced,341,245
342,characters,341,21
342,romance,341,160
342,epic,341,246
342,fighting,341,247
342,photography,341,248
342,multiple storylines,341,249
342,nonlinear,341,250
342,disturbing,341,251
342,drama,341,252
342,realistic,341,253
342,action packed,341,254
342,dystopia,341,255
342,unrealistic characters,341,256
342,cliche,341,257
342,johnny depp,341,258
342,magic realism,341,259
342,modernism,341,260
342,too long,341,261
342,colours,341,262
342,martial arts,341,263
342,dialogue driven,341,264
342,mindfuck,341,265
342,plot holes,341,266
342,biography,341,267
342,historical,341,268
342,world war ii,341,269
342,comic book,341,270
